names.node_leaves.x..,X.Intercept.,age,sexmale,bmi,children,smokeryes,regionnorthwest,regionsoutheast,regionsouthwest,,,
78,89894.17585,-1279.692851,NA,NA,NA,NA,NA,NA,NA,,,
79,-5984.79634,364.8358884,-390.3965183,69.63847451,-518.9883924,22718.61896,-4220.072038,2541.766341,210.6493059,,,
158,-172353.3056,1125.803556,7151.861813,5349.840073,-6281.762862,NA,-2574.062549,15585.14946,NA,,,
316,-15765.32673,676.4169894,4755.922934,NA,NA,NA,NA,NA,NA,,,
633,-21710.2304,874.580445,NA,NA,NA,NA,NA,NA,NA,,,
317,-35449.90988,502.8074431,1635.979612,841.3155753,NA,NA,NA,NA,NA,,,
635,-9902.980018,386.5529273,2951.108823,NA,NA,NA,NA,NA,NA,,,
1271,-2595.472457,246.0239357,NA,NA,NA,NA,NA,NA,NA,,,
159,-3378.407737,473.6967266,-3868.941331,-212.5920921,-153.0322593,15972.92879,1181.430527,13327.13001,1279.120173,,,
318,-115081.1835,2322.961078,-27261.00062,2602.810759,-30589.14649,14728.33433,NA,-5403.953314,NA,,,
636,689995.2512,-14324.92567,150791.4203,-14141.74071,NA,NA,NA,NA,NA,,,
1273,-1804.56259,191.571165,-496.92178,NA,NA,NA,NA,NA,NA,,,
2546,-3419.558375,253.6863875,NA,NA,NA,NA,NA,NA,NA,,,
637,1492991.9,-31207.56,234215.86,NA,NA,NA,NA,NA,NA,,,
1275,116973.7223,-1930.577496,NA,NA,NA,NA,NA,NA,NA,,,
319,-3830.658673,249.757278,-176.1526427,60.86887734,226.7144027,12430.1036,-822.6567375,18301.8824,-921.5745068,,,
638,-15695.16029,-5401.931037,65702.11856,13214.69798,-61890.10147,NA,NA,NA,NA,,,
1277,-73694.68478,1002.557219,21828.38125,1243.691896,NA,NA,NA,NA,NA,,,
2554,-50666.80808,1429.788417,14412.52285,NA,NA,NA,NA,NA,NA,,,
5108,-1424.021679,228.7448458,NA,NA,NA,NA,NA,NA,NA,,,
639,14743.70326,-99.99689928,5480.92667,-27.95358766,-9006.272953,31955.85609,NA,NA,NA,,,
1278,-15148.51019,1169.222398,4286.762756,NA,NA,NA,NA,NA,NA,,,
2556,-22864.68315,1455.006581,NA,NA,NA,NA,NA,NA,NA,,,
1279,-1424.69815,218.674,846.26815,NA,NA,NA,NA,NA,NA,,,
2559,-1798.630588,238.3546547,NA,NA,NA,NA,NA,NA,NA,,,
5,-11464.75711,243.2559738,-643.1970416,360.3078668,511.9759138,23822.18344,-1158.330333,-1612.732604,-1224.2492,,,
10,-11452.77222,240.1168178,-606.1132172,361.3675126,568.6770599,23784.10629,-1177.703769,-1568.091307,-1210.268812,,,
20,-9042.491565,261.5135747,-1131.352318,241.3691464,294.2075197,23134.19448,-443.830982,298.1091547,-1611.020232,,,
40,-9522.971143,272.5923129,-173.5797721,211.7265871,-747.0283418,24942.95015,-1201.365135,4437.737246,1221.188971,,,
80,-22150.5726,474.4025001,506.7109416,357.9747171,-1305.012336,23906.52643,-4347.53813,8448.45363,7952.4327,,,
160,-36846.47135,1128.207997,-3125.842329,-505.7073734,5964.860342,35850.49864,916.4141608,11073.67012,11331.61733,,,
320,-18365.44311,307.5743221,-715.6531167,450.6624999,1073.370058,29991.70831,-2931.8134,NA,NA,,,
641,-19081.09622,307.5743221,NA,450.6624999,1073.370058,29991.70831,-2931.8134,NA,NA,,,
1283,13988.63036,-287.8348148,NA,540.2313809,-5788.277999,21664.71336,NA,NA,NA,,,
2567,77779.56709,-1301.560327,NA,692.7286374,-19966.5198,NA,NA,NA,NA,,,
5134,62001.4253,960.0519135,NA,-3063.305826,NA,NA,NA,NA,NA,,,
10268,-2058.637397,238.5905759,NA,NA,NA,NA,NA,NA,NA,,,
321,-12258.5386,687.2277331,NA,NA,NA,NA,NA,NA,NA,,,
161,-29014.01802,-157.9630437,18236.6789,1483.107576,3013.592527,NA,NA,NA,NA,,,
322,897717.8122,-16422.10887,NA,NA,NA,NA,NA,NA,NA,,,
323,38666.82994,-612.8611405,16556.47127,NA,NA,NA,NA,NA,NA,,,
647,82817.42,-1532.6651,NA,NA,NA,NA,NA,NA,NA,,,
81,-6382.258269,223.8984961,-1172.89968,162.8203824,-389.1047662,24258.7551,-150.8977899,2444.987588,1393.634869,,,
163,-6381.23404,223.0391324,-1144.538597,163.4871361,-396.8818319,24236.15482,-77.01505498,2456.578284,1409.906414,,,
326,-2060.45246,291.0646855,-1949.216488,-49.38893329,549.3173077,16492.83789,-952.7980049,15177.43782,-1503.648074,,,
652,284970.4916,-8234.3129,NA,NA,NA,NA,NA,NA,NA,,,
653,1717.655977,257.9840699,-2350.845674,-126.4837166,754.7886901,15678.76177,-447.5523271,15604.77351,-1120.407177,,,
1306,-7190.541846,357.004449,NA,-39.88966976,NA,36168.06018,NA,NA,NA,,,
2612,-7190.541846,357.004449,NA,-39.88966976,NA,NA,NA,NA,NA,,,
5225,-8473.770361,357.5584722,NA,NA,NA,NA,NA,NA,NA,,,
1307,-101801.2199,908.4474459,20884.35202,1838.049681,1069.549293,19098.28256,12725.35305,NA,NA,,,
2614,37064.37104,-367.9908261,-5879.797783,NA,NA,NA,NA,NA,NA,,,
5229,24716.7957,-171.9975667,NA,NA,NA,NA,NA,NA,NA,,,
2615,-78345.14853,1209.507793,29142.04843,653.93803,NA,NA,NA,NA,NA,,,
5230,10358.27555,61.84655,6568.10763,NA,NA,NA,NA,NA,NA,,,
10460,10358.27555,61.84655,NA,NA,NA,NA,NA,NA,NA,,,
327,-3729.119987,213.8399875,-1067.667755,60.06590516,123.037779,26958.98163,656.7700913,252.96435,2291.508442,,,
654,-3667.829538,211.7569037,-1093.38735,61.12272985,126.2805421,26920.90319,644.1946895,357.0225708,2295.33307,,,
1308,-3332.535923,280.0298513,NA,NA,NA,NA,NA,NA,NA,,,
1309,-4568.157098,205.3926869,-1099.464584,90.5171343,96.22433308,27095.81522,906.857726,146.3807422,2509.722356,,,
2618,-4483.012906,246.4804109,-281.063051,57.30323024,459.6470557,NA,-182.4128229,-1245.853923,-475.8542114,,,
5236,1918.393649,117.2170907,-826.2004476,-54.91189354,NA,NA,NA,NA,NA,,,
10472,3547.72105,-6.24315,-1789.5381,NA,NA,NA,NA,NA,NA,,,
20944,-1641.93944,172.71066,NA,NA,NA,NA,NA,NA,NA,,,
5237,39246.83742,426.4732376,4344.82457,-1507.612198,461.9830385,NA,-3937.233275,-12607.98266,-9130.23937,,,
10474,43325.3674,-656.06005,-15616.21275,NA,NA,NA,NA,NA,NA,,,
20948,-920.568725,211.507325,NA,NA,NA,NA,NA,NA,NA,,,
10475,-2085.494962,236.1224154,856.538467,-52.88677008,932.9503957,NA,NA,NA,NA,,,
20950,-6441.974305,343.088685,-2234.382685,NA,NA,NA,NA,NA,NA,,,
41901,-6441.974305,343.088685,NA,NA,NA,NA,NA,NA,NA,,,
20951,-1573.317689,169.0989889,NA,NA,NA,NA,NA,NA,NA,,,
2619,-2572.602214,165.4183211,-595.2919541,75.4649817,-135.8988988,26158.94028,1652.132247,1041.366444,3425.600729,,,
5238,-1881.870645,242.027509,-1310.251107,19.58515128,310.2200636,29304.47697,-895.1180291,-2421.938013,1047.413258,,,
10476,-3086.502354,98.0702053,2159.269778,261.9226327,-1500.231259,24179.4144,5366.941385,-102.9400769,3560.715189,,,
20952,-11055.945,246.6072687,-1515.530671,292.9255253,-264.0726934,32700.55805,2867.103748,NA,NA,,,
41904,-6947.853144,306.9532214,-822.5478791,54.83173757,396.4644086,NA,NA,NA,NA,,,
83808,-7093.997375,352.0567464,-1019.353996,NA,NA,NA,NA,NA,NA,,,
167617,-7093.997375,352.0567464,NA,NA,NA,NA,NA,NA,NA,,,
83809,-301.180782,211.134054,NA,NA,NA,NA,NA,NA,NA,,,
41905,157306.9585,-3740.607213,NA,NA,NA,NA,NA,NA,NA,,,
20953,128517.0546,29593.75023,-872627.6213,-28430.23688,NA,NA,NA,NA,NA,,,
41906,-111718.447,5428.048887,NA,NA,NA,NA,NA,NA,NA,,,
41907,35139.1619,-450.6743567,NA,NA,NA,NA,NA,NA,NA,,,
10477,106084.7819,-2000.667451,-50434.07046,659.5412642,19598.70127,NA,NA,NA,NA,,,
20954,626520.6777,-6688.27887,-160729.5035,-4669.813263,NA,NA,NA,NA,NA,,,
41908,204948.2982,NA,NA,-4669.813263,NA,NA,NA,NA,NA,,,
41909,-8354.608563,351.1228125,NA,NA,NA,NA,NA,NA,NA,,,
5239,-12832.16671,522.4631209,17380.34239,-82.27881838,NA,NA,NA,NA,NA,,,
10478,-12832.16671,522.4631209,NA,-82.27881838,NA,NA,NA,NA,NA,,,
20957,-6788.7875,339.39275,NA,NA,NA,NA,NA,NA,NA,,,
41,-9186.185933,257.6626021,-1354.713279,248.1009894,640.4663205,22472.93671,-56.52904708,-408.3013451,-2345.646255,,,
82,-8476.175905,257.8296914,-1637.568379,219.386271,893.2607112,22639.12274,-353.5351405,-246.2708429,-2384.354319,,,
164,-13457.17056,226.1583383,-931.5003861,423.8128681,1694.674798,21483.17843,-2804.794717,125.9470076,-3300.439264,,,
328,-38749.81559,480.6017227,3498.001426,846.4068159,-4292.785742,24168.15489,-2911.704142,4769.300943,NA,,,
656,15333.69851,174.9467071,-1272.252907,NA,NA,NA,NA,NA,NA,,,
1312,14061.44561,174.9467071,NA,NA,NA,NA,NA,NA,NA,,,
657,626.6973906,246.3674135,23.23954265,-169.2803309,2573.366499,33516.20067,2333.338781,NA,NA,,,
1314,-3871.364646,275.6515736,NA,NA,NA,NA,NA,NA,NA,,,
1315,-154641.989,-885.9366633,17830.21102,6982.113838,-31252.72792,NA,NA,NA,NA,,,
2631,-206099.3372,2953.570615,24912.92592,2344.227566,NA,NA,NA,NA,NA,,,
5263,-216311.7971,4894.25615,12696.1514,NA,NA,NA,NA,NA,NA,,,
10526,-362317.5382,8068.294,NA,NA,NA,NA,NA,NA,NA,,,
329,-10889.82746,192.9989854,-2192.528431,393.5427883,1909.342995,22167.8935,-1860.625722,-593.2276297,-3850.532192,,,
658,-8318.423162,94.22423153,706.1287819,489.0061925,1366.5237,21262.01632,-2298.497877,-9167.781337,-5590.618792,,,
1316,18315.92826,-21.19967264,7855.502361,37.84458101,-707.8329272,10690.95646,-11714.90163,-16172.72005,-17321.94574,,,
2632,32249.39101,-41.24038263,8260.951584,-468.0907763,-20.59189743,17892.82776,-13402.90598,-25398.3384,-18223.26829,,,
5264,-57947.88594,-217.5878648,-5548.931173,2635.474673,NA,NA,NA,NA,NA,,,
10528,326870.9484,-11484.24209,139099.0962,NA,NA,NA,NA,NA,NA,,,
21056,2306.3905,107.3492625,NA,NA,NA,NA,NA,NA,NA,,,
5265,-25999.94181,-148.479118,6954.024911,1416.855869,12060.85761,NA,NA,NA,NA,,,
10530,-62125.8404,2690.9726,7716.0757,NA,NA,NA,NA,NA,NA,,,
21061,-54409.7647,2690.9726,NA,NA,NA,NA,NA,NA,NA,,,
10531,-6844.9528,336.4255111,NA,NA,NA,NA,NA,NA,NA,,,
1317,-16565.66501,96.45767654,-1914.743416,683.936755,2362.501466,22410.26501,-599.3953505,-6370.692504,-4048.891499,,,
2635,-18243.42195,77.01153265,1756.106319,778.0292379,1140.977338,25076.53353,-3246.3691,-14601.64753,-5945.052704,,,
5270,-18243.42195,77.01153265,1756.106319,778.0292379,1140.977338,25076.53353,-3246.3691,NA,-5945.052704,,,
10540,-18067.24302,30.82117465,1961.945935,806.819992,1336.933539,25050.56793,-2748.340534,NA,-5758.030689,,,
21080,-30976.34244,-211.5071658,14595.9012,1510.661524,-2391.62654,27779.01031,-8801.793067,NA,-5337.609753,,,
42160,-9616.806892,-1046.518053,104903.7239,2326.353393,-23928.03843,NA,NA,NA,NA,,,
84320,-3878.5393,293.438375,13415.16405,NA,NA,NA,NA,NA,NA,,,
168640,81978.51062,-1048.07803,NA,NA,NA,NA,NA,NA,NA,,,
84321,-3379.616876,1177.347645,NA,NA,NA,NA,NA,NA,NA,,,
42161,-6176.657243,329.0920071,-651.4291,NA,NA,NA,NA,NA,NA,,,
84322,-3012.573043,236.0307071,NA,NA,NA,NA,NA,NA,NA,,,
21081,-3857.380541,260.0564824,NA,NA,NA,NA,NA,NA,NA,,,
659,-7376.740623,161.7882445,-2999.944747,294.0883812,2030.462015,22196.15366,-1472.444913,2098.683885,-4826.921568,,,
1318,184448.1921,-8053.731411,NA,-163.4425359,NA,NA,NA,NA,NA,,,
2636,7266.101091,NA,NA,-163.4425359,NA,NA,NA,NA,NA,,,
1319,-7022.025745,189.2494769,-3443.795958,270.2430649,1787.613706,21854.0639,-1350.919994,1378.584597,-5100.166904,,,
2638,-5288.747305,164.8296504,-2416.729731,235.1072259,1729.154169,21093.97845,-263.5447074,1064.776252,-5340.885731,,,
5276,-7925.521389,197.9849451,-590.7705114,211.4727646,3342.696765,19493.83375,-1329.73946,5213.068852,-3614.117042,,,
10552,-607406.7438,791.7461217,7324.789668,15422.32363,48244.81424,NA,NA,NA,NA,,,
21104,-104781.7196,3143.650475,NA,NA,NA,NA,NA,NA,NA,,,
21105,71234.93786,-793.3670848,-14067.88132,NA,NA,NA,NA,NA,NA,,,
42210,57167.05654,-793.3670848,NA,NA,NA,NA,NA,NA,NA,,,
10553,17111.4194,80.84744533,-4812.921984,-400.4954787,-1498.875958,11428.70159,-2098.78345,3217.22017,-1923.788063,,,
21106,-22378.42473,344.0228411,3071.299951,496.1323231,789.7123461,18884.82293,NA,-3417.413587,NA,,,
42212,42789.14762,125.4298599,-17093.44241,-1013.884981,NA,NA,NA,NA,NA,,,
84424,18179.394,-68.13,NA,NA,NA,NA,NA,NA,NA,,,
84425,-4520.964029,272.201781,NA,NA,NA,NA,NA,NA,NA,,,
42213,60896.96243,273.7353413,NA,-1821.670958,NA,NA,NA,NA,NA,,,
84427,-92053.13361,2449.330943,NA,NA,NA,NA,NA,NA,NA,,,
21107,8130.786595,-2735.549021,-41188.05417,3384.792048,4374.62611,57308.99351,-69184.29529,4043.134331,23797.90639,,,
42214,-160316.9421,-4275.866587,-77082.27626,15987.39031,-57532.13714,NA,-318554.7077,-83047.82111,NA,,,
84428,293965.3866,-1036.986841,18818.00857,-10512.53488,22600.6922,NA,105723.8168,NA,NA,,,
168857,127483.9014,-2040.491876,14835.91813,-2302.039142,23503.84673,NA,NA,NA,NA,,,
337714,80806.22101,-2321.852216,NA,NA,NA,NA,NA,NA,NA,,,
337715,-2236.0314,220.988819,12847.92742,NA,NA,NA,NA,NA,NA,,,
675431,-2236.0314,220.988819,NA,NA,NA,NA,NA,NA,NA,,,
42215,-1250.81762,159.75862,NA,NA,NA,NA,NA,NA,NA,,,
5277,-729161.3247,18405.23006,-106948.048,-6930.039033,80506.96041,NA,NA,NA,NA,,,
10555,-590464.4494,5841.060805,162791.6685,6548.763236,NA,NA,NA,NA,NA,,,
21111,-292779.5019,5426.3058,83889.98615,NA,NA,NA,NA,NA,NA,,,
42223,-208889.5158,5426.3058,NA,NA,NA,NA,NA,NA,NA,,,
2639,51546.85297,2770.502219,3116.364388,-3900.211764,-19997.56189,NA,NA,NA,NA,,,
5278,349679.3458,-13881.85415,43441.4583,NA,NA,NA,NA,NA,NA,,,
10557,393120.804,-13881.85415,NA,NA,NA,NA,NA,NA,NA,,,
5279,-323386.0696,7211.49953,NA,NA,NA,NA,NA,NA,NA,,,
165,-7288.965567,266.6714779,-1540.157771,150.6150319,638.0357498,23403.09577,830.6343099,217.963089,-1403.779524,,,
330,-19674.17716,1082.059993,NA,NA,NA,NA,NA,NA,NA,,,
331,-6430.192506,247.8839771,-1674.981328,148.7437389,670.6469103,22512.16831,907.4764471,-167.1425059,-1308.513011,,,
662,-6305.864719,243.2289472,-687.328827,155.2499562,204.7119443,19162.97605,-691.3529351,-1290.158031,-1134.945526,,,
1324,-11191.30591,305.419489,3106.439303,233.215729,-1102.401841,11758.06324,NA,NA,NA,,,
2649,-41490.26829,515.7906938,17762.70159,1162.842984,-8214.566801,NA,NA,NA,NA,,,
5298,68497.47287,-1081.77179,-5226.21306,NA,NA,NA,NA,NA,NA,,,
10596,48712.52343,-708.4708571,NA,NA,NA,NA,NA,NA,NA,,,
5299,2520.947514,41.91438571,NA,NA,NA,NA,NA,NA,NA,,,
1325,-6282.303441,244.4286583,-666.2698324,154.9490492,139.9076041,20507.15551,-727.8798807,-1239.725867,-1095.302142,,,
2650,-8760.133947,284.7885353,-1858.7667,225.793884,126.2692484,23729.24109,-1963.874653,-1517.383674,-1110.888794,,,
5300,-10480.06695,247.6666143,-1406.004347,340.5798884,70.43911386,23045.81057,-2176.957083,-1703.377099,-1356.154281,,,
10600,-13642.94684,254.9532867,-1261.157463,481.5914197,-1035.176125,24672.61728,-1598.250414,-322.6679165,-2667.20098,,,
21200,-9834.655871,293.9762889,-1317.855615,239.914602,-84.21995974,32122.9965,1135.238659,-1486.452602,-1551.160698,,,
42400,20729.21592,258.3330458,1305.027621,-996.4820236,2126.207717,NA,-8241.388124,NA,NA,,,
84801,28970.60404,258.3330458,-6936.360503,-996.4820236,-6115.180407,NA,NA,NA,NA,,,
169602,-9815.485113,435.8314063,-3531.6112,NA,NA,NA,NA,NA,NA,,,
339205,-13347.09631,435.8314062,NA,NA,NA,NA,NA,NA,NA,,,
169603,-3765.330627,253.1903455,NA,NA,NA,NA,NA,NA,NA,,,
42401,-629864.7665,6164.181399,-116301.6357,17546.5942,NA,NA,NA,NA,NA,,,
84802,-3402.681667,232.9643333,NA,NA,NA,NA,NA,NA,NA,,,
84803,75224.76568,-1345.76092,NA,NA,NA,NA,NA,NA,NA,,,
21201,-4580.680282,535.0034027,-3919.558568,-389.6293277,3839.26327,8698.518554,NA,NA,NA,,,
42402,-3485.278063,1301.784956,5351.643953,-1638.772209,5775.114443,NA,NA,NA,NA,,,
84804,107670.8773,-1645.431692,NA,NA,NA,NA,NA,NA,NA,,,
84805,34136.77827,-924.7669833,11865.44723,NA,NA,NA,NA,NA,NA,,,
169611,223983.934,-6857.4906,NA,NA,NA,NA,NA,NA,NA,,,
10601,-5439.669408,269.8814189,-1020.417319,20.56925695,803.7886111,NA,NA,NA,NA,,,
21203,-4821.42082,142.6976055,-9.491433844,173.2770946,NA,NA,NA,NA,NA,,,
42407,-4610.88915,287.0126714,-244.5294357,NA,NA,NA,NA,NA,NA,,,
84814,-2043.330075,225.8803125,NA,NA,NA,NA,NA,NA,NA,,,
5301,-443.937,174.3643,NA,NA,NA,NA,NA,NA,NA,,,
2651,-2761.774561,254.176623,-554.199977,-7.859039409,473.0225569,13868.11435,-289.2994663,-420.7643375,-293.543339,,,
5302,-2919.76057,253.3079139,-578.8120277,-6.326203923,457.7879596,13867.71938,-69.8516291,-121.249271,-108.2653782,,,
10604,-3460.632211,239.1249616,-902.6843288,20.97370752,507.1320799,14223.79961,232.3156507,63.79221525,-141.2029,,,
21208,-3321.702584,212.8862169,-1049.905003,63.34,427.6277139,NA,NA,434.442512,-587.1103223,,,
42416,-3216.861455,191.9179911,-735.3816161,63.34,721.182875,NA,NA,916.7117054,NA,,,
84832,-2316.096518,264.4916036,-1204.203904,NA,NA,NA,NA,NA,NA,,,
169664,-2316.096518,264.4916036,NA,NA,NA,NA,NA,NA,NA,,,
84833,-10844.82137,412.6844333,1708.303933,NA,NA,NA,NA,NA,NA,,,
169667,-4668.645608,281.2764385,NA,NA,NA,NA,NA,NA,NA,,,
21209,-5340.787844,277.7740734,-788.8941805,48.05283921,459.2170952,14618.61745,-196.9468193,-898.0539268,-944.959757,,,
42418,3581.117082,192.0801108,-426.2021164,-112.2272329,NA,NA,NA,NA,NA,,,
84836,-3179.324732,234.861132,NA,NA,NA,NA,NA,NA,NA,,,
84837,2581.13135,113.9387,NA,NA,NA,NA,NA,NA,NA,,,
