"nodename","intercept","age","sexmale","bmi","children","smokeryes","regionnorthwest","regionsoutheast","regionsouthwest","r-squared"
"320",-20251.9335197696,548.91561344968,11139.0348085717,-11.988646609505,-1184.41335296937,14694.7234946437,617.352484048229,NA,NA,1
"81",-11699.7089262055,287.682711634428,369.584972892215,147.297890956764,545.336971978565,31439.4175375397,1940.38972977267,1513.96167685375,1600.16045977259,0.96101196502331
"163",-11730.623672178,286.767538468311,406.154062561974,149.264588102911,529.51297017231,31466.932486834,1896.6869944495,1505.93744055902,1602.26777429701,0.961052440938345
"326",-3646.98081051975,271.064020552085,-46.7136876336895,-20.0798215548059,444.22069553317,35916.022318581,-65.1551699254243,-321.175282561927,-469.293719558602,0.999632826399327
"653",-3897.87355350919,272.453337313511,45.9516082941482,-24.4340926684035,470.734087624944,36214.0835014999,141.607255238475,-10.2179518223253,-221.146049271467,0.999699957853724
"1307",2130.26990378011,208.96872508591,1111.11200000001,-167.45054982818,1080.19272852234,38652.6965429553,-980.935285223376,NA,NA,1
"327",-14031.2457589038,263.484051395334,1235.73945938834,185.384496952478,703.982894843592,30562.7727830504,3682.49647638182,2937.65384181141,3143.20690350175,0.961368811950593
"654",-13934.210297561,261.714377115738,1149.21349436362,179.028718872829,711.192966270192,30602.670616944,3891.21892046806,3184.23262126916,3337.78354025188,0.961332940790058
"1309",-13778.5125740809,251.927236890512,1201.59236762553,192.721555701217,568.445692458746,30500.6795610694,3714.36971162284,3153.15117184187,3300.5458942792,0.954492806960918
"2618",-6066.9634832331,261.477162504193,196.320659298449,89.0870610497067,283.723324458135,35486.827911821,-662.980232097783,-1739.45493177523,-956.810417146476,0.99981109489103
"5237",-22533.8560000024,632.844500000039,-4009.94050000041,1.39000000001475,3318.43450000036,33873.9724999998,1534.94750000007,437.790499999942,NA,1
"2619",-13411.3473999967,187.874612724793,1181.73376477661,241.669920143268,448.30108019466,29108.4621399859,6161.50976760839,5231.81717312471,4361.53522433434,0.952214948723421
"5238",-23129.7399081817,110.877854312165,889.820324548386,591.029614123655,1222.09321674861,28024.0001868129,7755.43346259633,1815.50928098454,8223.15506307485,0.966793326871885
"10476",-17168.0583096504,-694.359110228605,-13453.5063070816,1468.08493024991,6492.79732355838,20043.6151748606,19561.8956812672,-11260.6516634838,3470.9410082564,0.98432762094637
"20952",-2002.69641758484,-34.4399048991375,11836.6014910436,103.640889981353,7494.22861388937,13431.0647914901,-6603.39797123802,NA,NA,1
"41",-14676.5837524735,264.116567474435,165.866559965069,369.078820655654,769.021479809,23451.2418633134,1442.10843476349,-314.549074865382,21.144934560486,0.765180179463258
"82",-14682.2711602065,282.817314613648,106.753311843217,344.346951291273,528.867793427137,22633.6072901988,1737.20657905895,-5.13648386105702,460.898809285394,0.738798816161391
"164",-13899.1595734503,249.531877918425,-2533.83715516699,438.467352114709,29.2942943521541,20689.4839876492,1153.73288366061,-536.637221642391,686.22791258271,0.709874103761088
"328",35437.0698706696,60.9539569242971,7384.10177521761,-1423.99484324025,868.945864489547,20913.8366527269,21112.1183842731,23211.1218428195,-5602.24336249052,0.99999418189634
